ym,total_spending,transaction_count,avg_transaction,month_index
1993-07,22236.4,4,5559.1,1
1993-08,24181.5,3,8060.5,2
1993-09,26509.6,3,8836.533333333333,3
1993-10,29728.5,3,9909.5,4
1993-11,29156.5,7,4165.214285714285,5
1993-12,47489.9,10,4748.99,6
1994-01,48733.9,17,2866.7000000000003,7
1994-02,24070.7,9,2674.5222222222224,8
1994-03,30100.0,9,3344.4444444444443,9
1994-04,30004.2,9,3333.8,10
1994-05,31207.1,9,3467.4555555555553,11
1994-06,43550.0,10,4355.0,12
1994-07,30521.3,9,3391.2555555555555,13
1994-08,29043.2,9,3227.0222222222224,14
1994-09,31850.1,9,3538.8999999999996,15
1994-10,32699.2,10,3269.92,16
1994-11,33239.1,9,3693.233333333333,17
1994-12,43767.1,10,4376.71,18
1995-01,39794.3,16,2487.14375,19
1995-02,29967.6,10,2996.7599999999998,20
1995-03,31415.0,11,2855.909090909091,21
1995-04,27555.1,10,2755.5099999999998,22
1995-05,32726.1,9,3636.233333333333,23
1995-06,44480.1,9,4942.233333333334,24
1995-07,33527.0,9,3725.222222222222,25
1995-08,29702.1,9,3300.233333333333,26
1995-09,34256.8,10,3425.6800000000003,27
1995-10,28999.7,10,2899.9700000000003,28
1995-11,31357.9,9,3484.211111111111,29
1995-12,44320.2,10,4432.0199999999995,30
1996-01,48063.4,16,3003.9625,31
1996-02,32269.1,11,2933.5545454545454,32
1996-03,29131.0,10,2913.1,33
1996-04,34070.4,11,3097.309090909091,34
1996-05,29413.0,9,3268.1111111111113,35
1996-06,42103.2,9,4678.133333333333,36
1996-07,26543.0,9,2949.222222222222,37
1996-08,28059.0,9,3117.6666666666665,38
1996-09,30067.2,9,3340.8,39
1996-10,27160.0,10,2716.0,40
1996-11,27196.9,9,3021.8777777777777,41
1996-12,42617.3,10,4261.7300000000005,42
1997-01,56674.7,16,3542.16875,43
1997-02,28910.7,10,2891.07,44
1997-03,30923.1,10,3092.31,45
1997-04,27786.7,9,3087.411111111111,46
1997-05,30198.4,9,3355.3777777777777,47
1997-06,58011.2,10,5801.12,48
1997-07,28581.2,10,2858.12,49
1997-08,24483.9,9,2720.4333333333334,50
1997-09,26224.0,9,2913.777777777778,51
1997-10,27349.7,9,3038.855555555556,52
1997-11,35802.9,10,3580.29,53
1997-12,42596.6,11,3872.418181818182,54
1998-01,41436.5,16,2589.78125,55
1998-02,27822.7,9,3091.411111111111,56
1998-03,36645.8,10,3664.5800000000004,57
1998-04,29616.1,10,2961.6099999999997,58
1998-05,36404.7,11,3309.5181818181813,59
1998-06,42005.5,11,3818.681818181818,60
1998-07,32426.7,10,3242.67,61
1998-08,32676.5,9,3630.722222222222,62
1998-09,29824.8,9,3313.866666666667,63
1998-10,29531.9,9,3281.3222222222225,64
1998-11,30337.8,9,3370.866666666667,65
1998-12,47262.7,9,5251.411111111111,66
